Li,DEPTHUPPER
66.0,5520.0
65.0,5030.0
74.0,5222.0
35.0,3.0974999999999997
306.21,3460.0
35.0,3990.0
90.0,4050.0
40.0,4000.0
45.0,4697.0
45.0,4549.0
221.25,2500.0
255.94199999999998,2892.0
45.0,4340.0
45.0,4589.0
42.0,4770.0
277.71299999999997,3138.0
300.015,3390.0
142.0425,1605.0
80.0925,905.0
115.22699999999999,1302.0
123.89999999999999,1400.0
129.6525,1465.0
129.6525,1465.0
118.5015,1339.0
126.64349999999999,1431.0
119.91749999999999,1355.0
189.4785,2141.0
160.71599999999998,1816.0
37.169999999999995,420.0
84.96,960.0
84.96,960.0
238.5075,2695.0
158.8575,1795.0
153.98999999999998,1740.0
253.10999999999999,2860.0
161.07,1820.0
40.71,460.0
198.68249999999998,2245.0
53.099999999999994,600.0
143.8125,1625.0
134.51999999999998,1520.0
188.0625,2125.0
111.50999999999999,1260.0
192.22199999999998,2172.0
175.67249999999999,1985.0
192.22199999999998,2172.0
188.2395,2127.0
101.77499999999999,1150.0
25.0,2673.0
220.36499999999998,2490.0
23.0,3188.0
27.0,2797.0
22.0,2939.0
25.0,2823.0
23.0,2922.0
29.0,2940.0
247.79999999999998,2800.0
250.278,2828.0
132.75,1500.0
33.0,2878.0
25.0,3213.0
25.0,3060.0
23.0,2947.0
229.21499999999997,2590.0
225.67499999999998,2550.0
203.54999999999998,2300.0
455.3325,5145.0
212.39999999999998,2400.0
237.17999999999998,2680.0
249.57,2820.0
26.0,3260.0
25.0,3422.0
22.0,2570.0
31.0,2885.0
19.0,2642.0
13.0,2515.0
156.822,1772.0
95.0,5274.0
38.0,4851.0
334.176,3776.0
80.0,7.08
297.35999999999996,3360.0
288.77549999999997,3263.0
338.07,3820.0
242.313,2738.0
221.25,2500.0
205.7625,2325.0
115.93499999999999,1310.0
116.82,1320.0
207.5325,2345.0
245.32199999999997,2772.0
249.57,2820.0
161.07,1820.0
130.3605,1473.0
199.125,2250.0
35.0,3299.0
253.99499999999998,2870.0
266.8275,3015.0
281.6955,3183.0
251.33999999999997,2840.0
425.24249999999995,4805.0
65.0,5252.0
89.0,5252.0
86.0,5192.0
152.8395,1727.0
241.78199999999998,2732.0
250.89749999999998,2835.0
253.55249999999998,2865.0
35.0,3233.0
50.0,3218.0
55.0,3419.0
441.26099999999997,4986.0
454.9785,5141.0
446.1285,5041.0
68.4,5038.0
192.48749999999998,2175.0
418.16249999999997,4725.0
370.46099999999996,4186.0
358.51349999999996,4051.0
315.5025,3565.0
236.649,2674.0
487.989,5514.0
514.6274999999999,5815.0
173.0,3477.0
37.4,3446.0
18.5,3013.0
66.6,3802.0
66.2,4718.0
78.2,4816.0
175.23,1980.0
149.565,1690.0
176.5575,1995.0
54.3,3483.0
81.0,5074.0
261.429,2954.0
80.3,5074.0
38.2,3446.0
359.31,4060.0
235.41,2660.0
128.4135,1451.0
128.4135,1451.0
50.0,5153.0
50.0,5230.0
60.0,5249.0
32.0,3250.0
148.0,709.0
37.0,6567.0
45.0,6774.0
36.0,6187.0
35.0,6187.0
167.0,2545.0
65.0,5.7524999999999995
90.0,7.965
120.0,10.62
80.0,7.08
80.0,7.08
40.0,3.54
50.0,4.425
100.0,8.85
110.0,9.735
100.0,8.85
50.0,4.425
